id,purchase_price,purchase_date
19,10000,2022-05-19
19,1000,2022-04-28
19,3000,2022-04-10
19,3000,2022-03-23
19,1000,2022-03-03
19,10000,2022-02-10
19,1000,2022-01-22
19,10000,2022-01-03
20,5000,2022-10-14
20,5000,2022-09-24
20,5000,2022-09-05
20,5000,2022-08-15
20,5000,2022-07-25
20,10000,2022-07-09
20,5000,2022-06-15
20,1000,2022-05-31
20,10000,2022-05-12
20,1000,2022-04-25
20,5000,2022-04-02
20,3000,2022-03-11
20,5000,2022-02-22
20,3000,2022-02-13
20,5000,2022-01-19
20,10000,2022-01-05
20,3000,2021-12-11
20,3000,2021-11-24
20,10000,2021-11-03
20,10000,2021-10-17
20,5000,2021-09-29
20,10000,2021-09-15
21,3000,2022-11-06
21,1000,2022-10-20
21,5000,2022-09-26
21,5000,2022-09-06
21,10000,2022-08-23
21,5000,2022-07-23
21,1000,2022-07-03
21,1000,2022-06-17
21,5000,2022-05-29
21,1000,2022-05-02
21,10000,2022-04-22
21,1000,2022-03-31
22,5000,2022-10-14
22,5000,2022-09-17
22,3000,2022-09-06
22,10000,2022-08-17
22,1000,2022-07-30
22,10000,2022-07-11
22,3000,2022-06-22
22,5000,2022-06-01
22,5000,2022-05-14
22,10000,2022-04-29
22,5000,2022-04-09
22,10000,2022-03-22
22,10000,2022-03-03
22,3000,2022-02-15
22,3000,2022-01-27
22,10000,2022-01-09
22,10000,2021-12-23
23,3000,2022-10-11
23,5000,2022-09-15
23,3000,2022-08-30
23,5000,2022-08-12
23,10000,2022-07-27
23,3000,2022-07-10
23,10000,2022-06-24
23,3000,2022-06-07
23,5000,2022-05-21
23,1000,2022-04-30
23,1000,2022-04-08
23,3000,2022-03-11
23,3000,2022-02-20
23,3000,2022-01-31
23,1000,2022-01-12
23,1000,2021-12-22
23,5000,2021-11-28
23,5000,2021-11-02
23,5000,2021-10-13
23,5000,2021-09-24
23,1000,2021-09-03
24,3000,2022-12-22
24,5000,2022-12-09
24,3000,2022-11-16
24,5000,2022-10-30
24,5000,2022-10-16
24,10000,2022-10-02
24,10000,2022-09-10
24,10000,2022-08-22
24,1000,2022-08-03
24,10000,2022-07-13
24,3000,2022-06-17
24,10000,2022-05-22
24,5000,2022-04-30
24,3000,2022-04-05
24,1000,2022-03-16
24,1000,2022-03-02
25,10000,2022-11-24
25,10000,2022-11-11
25,5000,2022-10-28
25,5000,2022-10-07
25,10000,2022-09-25
25,10000,2022-09-06
25,3000,2022-08-10
25,3000,2022-07-23
25,3000,2022-07-07
26,3000,2022-12-30
26,3000,2022-12-09
26,10000,2022-11-21
26,1000,2022-10-26
26,1000,2022-10-03
26,5000,2022-09-15
26,10000,2022-08-27
26,5000,2022-08-13
26,1000,2022-07-20
26,1000,2022-07-01
26,10000,2022-06-13
26,5000,2022-05-28
26,1000,2022-05-08
26,10000,2022-04-26
26,1000,2022-04-04
27,10000,2022-11-10
27,10000,2022-10-23
27,1000,2022-10-09
27,10000,2022-09-28
27,10000,2022-09-09
27,1000,2022-08-22
27,3000,2022-07-25
27,1000,2022-07-09
27,1000,2022-06-21
27,5000,2022-06-01
27,3000,2022-05-15
27,3000,2022-04-24
27,10000,2022-03-25
27,1000,2022-03-08
27,5000,2022-02-14
27,3000,2022-01-27
27,3000,2022-01-11
27,3000,2021-12-25
28,5000,2022-10-28
28,10000,2022-10-13
28,5000,2022-09-23
28,3000,2022-09-06
28,10000,2022-08-25
28,10000,2022-08-06
28,10000,2022-07-13
28,10000,2022-06-28
28,1000,2022-06-11
28,3000,2022-05-22
28,3000,2022-05-06
28,1000,2022-04-19
28,5000,2022-04-01
28,3000,2022-03-02
28,5000,2022-02-13
28,5000,2022-01-18
29,1000,2022-12-05
29,3000,2022-11-14
29,5000,2022-10-26
29,3000,2022-10-06
29,1000,2022-09-12
29,3000,2022-08-27
29,1000,2022-08-02
29,3000,2022-07-10
29,5000,2022-06-21
29,10000,2022-06-11
29,5000,2022-05-25
30,10000,2022-12-20
30,3000,2022-11-29
30,3000,2022-11-07
30,10000,2022-10-22
30,3000,2022-10-06
30,5000,2022-09-19
30,5000,2022-09-02
30,3000,2022-08-17
30,5000,2022-07-23
30,5000,2022-07-05
30,3000,2022-06-18
30,10000,2022-05-30
31,5000,2022-11-22
31,5000,2022-11-02
31,1000,2022-10-16
31,10000,2022-09-24
31,3000,2022-09-04
31,5000,2022-08-13
31,1000,2022-07-22
31,10000,2022-07-04
31,3000,2022-06-18
31,10000,2022-06-03
31,5000,2022-05-15
31,1000,2022-04-28
31,1000,2022-04-08
31,5000,2022-03-22
31,5000,2022-03-06
31,3000,2022-02-06
31,5000,2022-01-18
31,10000,2021-12-28
32,5000,2022-11-20
32,3000,2022-11-10
32,5000,2022-10-22
32,5000,2022-10-08
32,10000,2022-09-19
32,5000,2022-09-06
32,10000,2022-08-13
32,5000,2022-07-28
32,3000,2022-07-03
32,10000,2022-06-16
32,5000,2022-06-03
32,3000,2022-05-14
32,3000,2022-04-19
32,10000,2022-03-27
32,3000,2022-03-11
32,10000,2022-02-25
32,5000,2022-02-03
33,10000,2022-10-08
33,10000,2022-09-15
33,5000,2022-08-24
33,3000,2022-08-04
33,5000,2022-07-14
33,5000,2022-06-27
33,5000,2022-06-02
33,10000,2022-05-12
33,5000,2022-05-03
33,10000,2022-04-12
33,5000,2022-03-23
33,10000,2022-03-05
33,5000,2022-02-09
33,3000,2022-01-21
33,3000,2022-01-04
34,5000,2022-12-06
34,5000,2022-11-27
34,5000,2022-11-05
34,1000,2022-10-14
34,3000,2022-09-25
34,1000,2022-09-09
34,3000,2022-08-27
34,1000,2022-08-06
34,3000,2022-07-18
34,1000,2022-06-27
34,5000,2022-06-05
34,3000,2022-05-10
34,3000,2022-04-20
34,3000,2022-03-31
34,1000,2022-03-10
34,10000,2022-02-10
34,1000,2022-01-22
34,1000,2022-01-02
35,5000,2022-11-28
35,5000,2022-11-16
35,3000,2022-10-30
35,5000,2022-10-11
35,5000,2022-09-20
35,10000,2022-09-02
35,1000,2022-08-18
35,1000,2022-08-02
35,10000,2022-07-20
35,5000,2022-07-02
35,10000,2022-06-07
35,5000,2022-05-12
35,5000,2022-04-20
35,10000,2022-04-01
35,5000,2022-03-11
36,5000,2022-11-10
36,5000,2022-10-15
36,10000,2022-09-30
36,10000,2022-09-13
36,5000,2022-08-21
36,10000,2022-07-30
36,3000,2022-07-13
36,5000,2022-06-29
36,3000,2022-06-12
36,5000,2022-05-18
36,10000,2022-05-04
36,5000,2022-04-20
36,10000,2022-03-29
36,3000,2022-03-17
36,5000,2022-02-24
36,10000,2022-02-05
36,5000,2022-01-14
36,5000,2021-12-29
36,3000,2021-12-05
37,1000,2022-12-10
37,1000,2022-11-29
37,1000,2022-11-07
37,10000,2022-10-18
37,3000,2022-09-28
37,3000,2022-09-09
37,1000,2022-08-21
37,1000,2022-08-05
37,3000,2022-07-12
37,5000,2022-06-26
37,3000,2022-06-02
37,1000,2022-05-08
37,1000,2022-04-10
37,3000,2022-03-24
37,1000,2022-02-28
37,3000,2022-02-08
37,1000,2022-01-16
37,5000,2021-12-23
37,10000,2021-12-02
37,5000,2021-11-08
37,1000,2021-10-23
38,1000,2022-11-07
38,3000,2022-10-09
38,1000,2022-09-14
38,5000,2022-08-25
38,5000,2022-08-09
38,5000,2022-07-21
38,5000,2022-07-05
38,1000,2022-06-13
38,10000,2022-05-26
38,1000,2022-05-11
38,1000,2022-04-18
38,10000,2022-04-06
38,3000,2022-03-17
38,1000,2022-02-24
38,5000,2022-01-29
38,10000,2022-01-06
38,1000,2021-12-21
38,3000,2021-12-03
38,10000,2021-11-05
38,1000,2021-10-15
38,3000,2021-09-30
38,3000,2021-09-15
39,3000,2022-10-13
39,1000,2022-09-25
39,3000,2022-09-07
39,3000,2022-08-21
40,5000,2022-12-31
40,3000,2022-12-12
40,10000,2022-11-22
40,10000,2022-11-04
40,1000,2022-10-09
40,10000,2022-09-13
40,1000,2022-08-22
40,5000,2022-07-30
40,3000,2022-07-10
40,10000,2022-06-15
40,5000,2022-05-27
41,1000,2022-12-20
41,10000,2022-12-04
41,5000,2022-11-12
41,10000,2022-10-20
41,5000,2022-10-01
41,5000,2022-09-12
42,5000,2022-11-28
42,3000,2022-11-11
42,10000,2022-10-27
42,1000,2022-10-11
42,3000,2022-09-23
42,5000,2022-09-04
42,1000,2022-08-14
42,1000,2022-07-30
43,10000,2022-12-21
43,10000,2022-12-02
43,10000,2022-11-13
43,1000,2022-11-02
43,5000,2022-10-14
43,3000,2022-09-25
43,3000,2022-09-04
43,3000,2022-08-12
43,10000,2022-07-21
43,10000,2022-06-30
43,10000,2022-06-14
43,1000,2022-05-26
43,10000,2022-05-12
43,5000,2022-04-21
43,10000,2022-04-02
43,3000,2022-03-11
44,5000,2022-12-18
44,10000,2022-12-06
44,3000,2022-11-13
44,3000,2022-10-28
44,10000,2022-10-03
44,5000,2022-09-05
44,3000,2022-08-17
44,10000,2022-07-31
44,10000,2022-07-07
44,1000,2022-06-21
44,3000,2022-06-06
44,10000,2022-05-23
44,5000,2022-04-28
44,10000,2022-04-03
44,1000,2022-03-07
44,5000,2022-02-19
45,5000,2022-10-07
45,1000,2022-09-20
45,1000,2022-08-28
45,10000,2022-07-31
45,1000,2022-07-15
45,3000,2022-06-26
45,3000,2022-06-12
45,3000,2022-05-24
45,1000,2022-05-09
45,5000,2022-04-21
45,5000,2022-04-02
45,5000,2022-03-20
45,1000,2022-02-28
45,1000,2022-02-03
45,3000,2022-01-13
45,5000,2022-01-01
46,1000,2022-12-21
46,5000,2022-11-27
46,3000,2022-11-09
46,3000,2022-10-16
46,5000,2022-09-24
46,10000,2022-09-07
46,10000,2022-08-19
46,10000,2022-07-23
46,10000,2022-06-29
46,10000,2022-06-05
46,3000,2022-05-18
46,10000,2022-04-17
47,10000,2022-11-22
47,3000,2022-10-26
47,3000,2022-10-14
47,10000,2022-09-24
47,10000,2022-09-08
47,5000,2022-08-23
47,3000,2022-08-01
47,1000,2022-07-16
47,3000,2022-06-17
47,3000,2022-05-26
47,5000,2022-05-07
47,3000,2022-04-13
47,10000,2022-03-21
47,3000,2022-03-03
48,5000,2022-11-29
48,3000,2022-11-07
48,5000,2022-10-22
48,3000,2022-10-04
48,3000,2022-09-19
48,1000,2022-09-07
48,5000,2022-08-31
48,1000,2022-08-12
48,1000,2022-07-21
49,5000,2022-10-24
49,3000,2022-10-06
49,1000,2022-09-16
49,10000,2022-08-22
49,3000,2022-08-09
49,3000,2022-07-14
49,5000,2022-06-28
49,3000,2022-06-11
49,3000,2022-05-20
49,5000,2022-05-05
49,5000,2022-04-06
50,3000,2022-11-26
50,3000,2022-10-26
50,10000,2022-10-17
50,5000,2022-10-06
50,1000,2022-09-18
50,5000,2022-08-26
50,3000,2022-08-07
50,3000,2022-07-21
50,5000,2022-07-12
51,1000,2022-10-20
51,5000,2022-10-03
51,1000,2022-09-12
51,1000,2022-08-29
51,5000,2022-08-09
51,3000,2022-07-18
51,1000,2022-06-26
51,1000,2022-06-07
51,3000,2022-05-18
51,5000,2022-04-27
51,5000,2022-04-08
51,5000,2022-03-19
51,1000,2022-02-28
52,3000,2022-10-05
52,10000,2022-09-14
52,5000,2022-08-21
52,1000,2022-08-05
52,1000,2022-07-13
52,3000,2022-06-23
52,5000,2022-05-31
52,1000,2022-05-15
52,5000,2022-04-29
52,5000,2022-04-05
52,3000,2022-03-14
52,5000,2022-02-21
52,1000,2022-02-01
52,5000,2022-01-06
52,3000,2021-12-07
52,10000,2021-11-10
52,1000,2021-10-16
52,5000,2021-10-07
52,3000,2021-09-10
52,10000,2021-08-25
52,5000,2021-08-09
53,3000,2022-10-05
53,5000,2022-09-14
53,5000,2022-09-03
53,3000,2022-08-17
53,3000,2022-07-18
53,5000,2022-06-26
53,1000,2022-05-30
53,10000,2022-05-16
53,5000,2022-04-30
53,5000,2022-04-09
53,10000,2022-03-19
54,3000,2022-10-15
54,5000,2022-09-29
54,3000,2022-09-11
54,1000,2022-08-24
54,3000,2022-07-28
54,3000,2022-07-07
54,3000,2022-06-17
54,1000,2022-05-25
54,1000,2022-05-05
54,1000,2022-04-12
54,1000,2022-03-16
54,3000,2022-02-11
54,10000,2022-01-14
54,10000,2021-12-24
54,5000,2021-12-07
54,5000,2021-11-15
54,3000,2021-10-19
55,3000,2022-10-10
55,10000,2022-09-25
55,5000,2022-09-04
55,1000,2022-08-08
55,3000,2022-07-14
55,1000,2022-06-21
55,5000,2022-05-30
55,10000,2022-05-08
55,5000,2022-04-21
55,3000,2022-04-07
55,5000,2022-03-22
55,10000,2022-02-27
55,3000,2022-02-09
56,3000,2022-10-29
56,10000,2022-10-06
56,10000,2022-09-17
56,3000,2022-08-27
56,10000,2022-08-08
56,3000,2022-07-12
56,5000,2022-06-20
56,1000,2022-05-27
56,3000,2022-05-08
56,5000,2022-04-21
56,1000,2022-04-03
56,10000,2022-03-17
56,10000,2022-02-25
56,3000,2022-02-15
56,1000,2022-02-02
56,3000,2022-01-18
56,1000,2021-12-25
56,10000,2021-11-30
56,10000,2021-11-06
57,3000,2022-11-15
57,10000,2022-10-28
57,10000,2022-10-02
57,1000,2022-09-19
57,5000,2022-08-24
57,10000,2022-08-09
57,10000,2022-07-19
57,5000,2022-06-27
57,3000,2022-05-31
57,10000,2022-04-29
57,5000,2022-04-07
57,5000,2022-03-24
57,10000,2022-03-05
57,3000,2022-02-05
57,5000,2022-01-09
57,10000,2021-12-22
57,3000,2021-11-26
58,5000,2022-10-10
58,1000,2022-09-21
58,10000,2022-09-08
58,3000,2022-08-26
58,3000,2022-08-07
58,3000,2022-07-19
58,5000,2022-07-03
58,10000,2022-06-15
58,3000,2022-05-28
58,3000,2022-05-14
58,3000,2022-04-27
58,1000,2022-04-06
58,10000,2022-03-21
58,1000,2022-03-03
58,5000,2022-02-09
59,3000,2022-12-11
59,10000,2022-11-21
59,1000,2022-11-05
59,1000,2022-10-14
59,5000,2022-09-12
59,5000,2022-08-24
59,3000,2022-07-30
59,5000,2022-07-14
59,3000,2022-06-26
59,1000,2022-06-05
59,1000,2022-05-12
59,10000,2022-04-25
59,1000,2022-04-10
59,3000,2022-03-23
59,5000,2022-03-01
59,3000,2022-02-05
59,1000,2022-01-18
59,10000,2021-12-30
60,5000,2022-12-05
60,3000,2022-11-12
60,10000,2022-10-29
60,5000,2022-10-08
60,1000,2022-09-08
60,3000,2022-08-19
60,10000,2022-08-04
60,1000,2022-07-09
60,5000,2022-06-12
60,10000,2022-05-20
60,5000,2022-04-30
60,5000,2022-04-03
60,10000,2022-03-18
60,5000,2022-02-25
60,5000,2022-02-06
60,5000,2022-01-14
60,3000,2021-12-31
61,10000,2022-12-03
61,3000,2022-11-10
61,3000,2022-10-24
61,10000,2022-10-10
61,3000,2022-09-20
61,5000,2022-08-31
61,3000,2022-08-19
61,3000,2022-07-21
61,10000,2022-06-27
61,3000,2022-06-10
61,3000,2022-05-18
61,5000,2022-04-30
62,1000,2022-12-19
62,10000,2022-12-04
62,5000,2022-11-13
62,1000,2022-10-23
62,1000,2022-09-24
62,3000,2022-09-10
62,5000,2022-08-16
62,3000,2022-07-30
62,1000,2022-07-07
62,1000,2022-06-14
62,10000,2022-05-25
62,5000,2022-05-08
62,5000,2022-04-21
62,5000,2022-03-28
62,1000,2022-03-10
63,1000,2022-12-14
63,1000,2022-11-17
63,3000,2022-11-03
63,5000,2022-10-07
63,5000,2022-09-18
63,1000,2022-08-27
63,1000,2022-07-24
63,5000,2022-06-25
63,1000,2022-06-02
63,3000,2022-05-07
63,3000,2022-04-17
63,1000,2022-03-16
63,1000,2022-02-25
63,5000,2022-02-01
63,3000,2022-01-17
63,5000,2021-12-31
63,1000,2021-12-14
63,1000,2021-11-24
64,10000,2022-12-29
64,5000,2022-12-11
64,10000,2022-11-28
64,10000,2022-11-06
64,5000,2022-10-16
64,5000,2022-09-26
64,5000,2022-09-03
64,10000,2022-08-21
64,5000,2022-08-02
64,5000,2022-07-11
65,1000,2022-11-25
65,5000,2022-11-05
65,3000,2022-10-12
65,10000,2022-09-24
65,5000,2022-08-29
65,5000,2022-08-14
65,10000,2022-07-28
65,10000,2022-07-05
65,5000,2022-06-07
65,3000,2022-05-05
65,10000,2022-04-15
65,10000,2022-03-27
66,10000,2022-10-18
66,3000,2022-09-26
66,1000,2022-09-07
66,5000,2022-08-17
66,5000,2022-08-01
66,3000,2022-07-07
66,1000,2022-06-19
66,1000,2022-05-26
66,10000,2022-05-10
67,3000,2022-11-27
67,3000,2022-11-12
67,10000,2022-10-22
67,10000,2022-10-04
67,5000,2022-09-17
67,1000,2022-08-25
67,10000,2022-07-29
67,3000,2022-07-12
67,5000,2022-06-27
67,10000,2022-06-11
67,3000,2022-05-20
67,5000,2022-04-24
67,3000,2022-04-03
67,10000,2022-03-17
67,10000,2022-02-25
67,10000,2022-02-04
67,10000,2022-01-15
67,3000,2021-12-24
67,10000,2021-12-04
67,5000,2021-11-14
67,10000,2021-10-25
68,5000,2022-11-22
68,10000,2022-10-26
68,5000,2022-10-06
68,5000,2022-09-21
68,1000,2022-08-26
68,10000,2022-08-01
68,10000,2022-07-09
68,5000,2022-06-21
68,10000,2022-06-01
68,5000,2022-05-09
68,1000,2022-04-24
68,3000,2022-04-08
68,1000,2022-03-23
68,3000,2022-03-05
68,10000,2022-02-15
68,5000,2022-01-28
68,3000,2022-01-02
69,10000,2022-12-21
69,10000,2022-11-30
69,3000,2022-11-07
69,5000,2022-10-13
69,3000,2022-09-21
69,5000,2022-08-31
69,3000,2022-08-18
69,10000,2022-07-28
69,5000,2022-07-08
69,5000,2022-06-20
69,3000,2022-05-27
69,3000,2022-05-03
69,3000,2022-04-12
69,5000,2022-03-20
69,10000,2022-03-05
69,5000,2022-02-19
69,5000,2022-01-25
70,3000,2022-11-10
70,5000,2022-10-23
70,5000,2022-10-02
70,3000,2022-09-10
70,10000,2022-08-18
70,10000,2022-08-03
70,10000,2022-07-08
70,10000,2022-06-09
70,5000,2022-05-24
70,5000,2022-05-02
70,1000,2022-04-08
70,5000,2022-03-21
70,5000,2022-03-05
71,3000,2022-12-29
71,5000,2022-12-05
71,10000,2022-11-13
71,5000,2022-10-21
71,10000,2022-09-28
71,10000,2022-08-31
71,5000,2022-08-18
71,10000,2022-07-20
71,3000,2022-07-05
71,3000,2022-06-20
71,5000,2022-05-28
72,10000,2022-10-27
72,5000,2022-10-11
72,3000,2022-09-25
72,10000,2022-09-07
72,10000,2022-08-24
72,3000,2022-08-02
72,10000,2022-07-13
72,1000,2022-06-19
72,5000,2022-05-24
72,10000,2022-05-01
72,3000,2022-04-11
72,3000,2022-03-15
72,3000,2022-02-25
72,1000,2022-02-04
72,10000,2022-01-17
72,10000,2022-01-07
72,10000,2021-12-20
72,3000,2021-12-04
73,10000,2022-12-08
73,10000,2022-11-24
73,3000,2022-11-02
73,10000,2022-10-18
73,10000,2022-09-29
73,10000,2022-09-06
73,10000,2022-08-06
73,5000,2022-07-24
73,10000,2022-07-06
73,3000,2022-06-11
73,5000,2022-05-27
73,3000,2022-05-11
73,10000,2022-04-22
73,10000,2022-03-31
74,10000,2022-12-31
74,10000,2022-12-06
74,1000,2022-11-19
74,10000,2022-10-26
74,5000,2022-10-06
74,10000,2022-09-21
75,3000,2022-10-18
75,3000,2022-09-24
75,3000,2022-09-02
75,3000,2022-08-16
75,10000,2022-07-23
75,10000,2022-06-28
75,10000,2022-06-02
75,5000,2022-05-17
75,10000,2022-05-04
75,5000,2022-04-09
75,1000,2022-03-18
76,5000,2022-10-24
76,5000,2022-10-04
76,10000,2022-09-17
76,5000,2022-08-24
76,5000,2022-08-09
76,10000,2022-07-23
76,3000,2022-06-29
76,10000,2022-06-08
76,5000,2022-05-20
76,5000,2022-04-29
76,3000,2022-04-15
76,5000,2022-03-08
77,1000,2022-12-11
77,3000,2022-11-24
77,10000,2022-11-03
77,3000,2022-10-13
77,3000,2022-09-25
77,5000,2022-09-02
77,1000,2022-08-05
77,1000,2022-07-12
77,10000,2022-06-10
77,1000,2022-05-22
77,5000,2022-05-09
77,3000,2022-04-23
77,3000,2022-04-03
78,3000,2022-11-04
78,3000,2022-10-20
78,10000,2022-09-27
78,3000,2022-09-05
78,5000,2022-08-14
78,5000,2022-07-22
78,1000,2022-06-29
78,1000,2022-06-02
78,3000,2022-05-09
78,3000,2022-04-20
78,3000,2022-04-03
78,5000,2022-03-12
78,10000,2022-02-21
78,1000,2022-01-26
78,3000,2022-01-09
78,3000,2021-12-15
78,10000,2021-11-24
78,1000,2021-10-31
78,3000,2021-10-08
78,1000,2021-09-19
78,1000,2021-08-27
79,5000,2022-12-26
79,10000,2022-12-01
79,3000,2022-11-11
79,10000,2022-10-12
79,5000,2022-09-28
79,5000,2022-09-11
79,5000,2022-08-19
79,10000,2022-07-27
79,10000,2022-07-07
79,10000,2022-06-12
79,5000,2022-05-22
79,3000,2022-04-30
79,5000,2022-04-09
79,5000,2022-03-21
79,3000,2022-03-04
80,1000,2022-12-28
80,5000,2022-12-10
80,3000,2022-11-26
80,10000,2022-11-06
80,5000,2022-10-15
80,10000,2022-09-30
80,5000,2022-09-13
80,1000,2022-08-22
80,5000,2022-08-11
80,3000,2022-07-25
80,1000,2022-07-04
